"var1","var2","correlation","p_value","method"
"prop_oak","x_pinus",-0.248529109435737,0.0117776525086051,"Pearson's product-moment correlation"
"prop_oak","x_conifers",-0.310701749092992,0.00148136450993975,"Pearson's product-moment correlation"
"prop_oak","x_acer",-0.35477136653889,0.000253583996309478,"Pearson's product-moment correlation"
"prop_oak","longitude_e_w",-0.13474267790023,0.176942553348647,"Pearson's product-moment correlation"
"prop_oak","densite_du_couvert",0.410996162234974,1.77951859596656e-05,"Pearson's product-moment correlation"
"x_conifers","x_pinus",0.901830331025296,3.17842665841678e-38,"Pearson's product-moment correlation"
"x_acer","x_pinus",-0.145365101181689,0.144902005577571,"Pearson's product-moment correlation"
"total_continuous","site_area",0.076227211186645,0.44637172779352,"Pearson's product-moment correlation"
"prop_oak","site_area",0.00995020378571515,0.920934967927382,"Pearson's product-moment correlation"
"site_area","longitude_e_w",-0.486718440363039,2.13799715116081e-07,"Pearson's product-moment correlation"
